ResourceType     Locations    Name                      Zones    Restrictions
virtualMachines  eastus       Standard_F2s_v2           1,2,3    None
virtualMachines  eastus       Standard_F32s_v2          1,2,3    None
virtualMachines  eastus       Standard_F4               1,2,3    None
virtualMachines  eastus       Standard_F48s_v2          1,2,3    None
virtualMachines  eastus       Standard_F4s              1,2,3    None
virtualMachines  eastus       Standard_F4s_v2           1,2,3    None
virtualMachines  eastus       Standard_F64s_v2          1,2,3    None
virtualMachines  eastus       Standard_F72s_v2          1,2,3    None
virtualMachines  eastus       Standard_F8               1,2,3    None
virtualMachines  eastus       Standard_F8s              1,2,3    None
virtualMachines  eastus       Standard_F8s_v2           1,2,3    None
virtualMachines  eastus       Standard_FX12mds          3        None
virtualMachines  eastus       Standard_FX24mds          3        None
virtualMachines  eastus       Standard_FX36mds          3        None
virtualMachines  eastus       Standard_FX48mds          3        None
virtualMachines  eastus       Standard_FX4mds           3        None
virtualMachines  eastus       Standard_HB120-16rs_v2    1        None
virtualMachines  eastus       Standard_HB120-32rs_v2    1        None
virtualMachines  eastus       Standard_HB120-64rs_v2    1        None
virtualMachines  eastus       Standard_HB120-96rs_v2    1        None
virtualMachines  eastus       Standard_HB120rs_v2       1        None
virtualMachines  eastus       Standard_L16as_v3         1,2      None
virtualMachines  eastus       Standard_L16s_v3          1,2,3    None
virtualMachines  eastus       Standard_L32as_v3         1,2      None
virtualMachines  eastus       Standard_L32s_v3          1,2,3    None
virtualMachines  eastus       Standard_L48as_v3         1,2      None
virtualMachines  eastus       Standard_L48s_v3          1,2,3    None
virtualMachines  eastus       Standard_L64as_v3         1,2      None
virtualMachines  eastus       Standard_L64s_v3          1,2,3    None
virtualMachines  eastus       Standard_L80as_v3         1,2      None
virtualMachines  eastus       Standard_L80s_v3          1,2,3    None
virtualMachines  eastus       Standard_L8as_v3          1,2      None
virtualMachines  eastus       Standard_L8s_v3           1,2,3    None
virtualMachines  eastus       Standard_M128             1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M128-32ms        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M128-64ms        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M128dms_v2       1,2,3    None
